NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;VERKEERSKUNDIGWEGVAKVILD;TRAJECTVILD;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
3924755;2024-01-29;2024-01-29;8:29:29;8:32:00;7,665;3046,000;2,517;33,1;35,8;A;20;A20;aflopend;Terbregseplein - Rotterdam-Crooswijk;Gouda - Hoek van Holland;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3924756;2024-01-29;2024-01-29;8:29:29;8:58:00;126,238;4427,000;28,517;48,7;53,3;A;4;A4;aflopend;Rijswijk-Plaspoelpolder - Den Haag-Ypenburg;Rotterdam - Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 29];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3924757;2024-01-29;2024-01-29;8:29:29;8:34:00;11,815;2616,000;4,517;55,4;57,5;A;4;A4;aflopend;Delft - Den Hoorn;Rotterdam - Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3924758;2024-01-29;2024-01-29;8:29:29;8:45:03;48,305;3103,000;15,567;73,6;70,9;A;4;A4;oplopend;Vlaardingen-Oost - Beneluxtunnel;Den Haag - Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 16];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3924759;2024-01-29;2024-01-29;8:29:29;8:33:00;7,923;2253,000;3,517;26,0;28,2;A;67;A67;aflopend;Geldrop - Leenderheide/Randweg N2;Venlo - Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3924835;2024-01-29;2024-01-29;8:46:30;9:01:00;46,718;3222,000;14,500;1,6;4,3;A;12;A12;aflopend;Den Haag-Centraal Station - Den Haag-Centrum;Utrecht - Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 14];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3924836;2024-01-29;2024-01-29;8:46:30;8:48:00;3,750;2500,000;1,500;96,9;94,5;A;15;A15;oplopend;Gorinchem - brug over het Merwedekanaal;Gorinchem - Nijmegen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3924837;2024-01-29;2024-01-29;8:46:30;8:59:00;30,412;2433,000;12,500;2,5;5,1;A;4;A4;aflopend;Badhoevedorp - Amsterdam-Sloten;Den Haag - Amsterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 12];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3924838;2024-01-29;2024-01-29;8:46:30;8:48:00;3,900;2600,000;1,500;27,0;24,4;N;44;N44;oplopend;Wassenaar-Zuid - Scheveningen;Wassenaar - Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3924839;2024-01-29;2024-01-29;8:47:30;8:57:00;19,197;2021,000;9,500;68,2;70,2;A;16;A16;aflopend;Industriegebied Breda 6000-7000 - Galder;Belgische grens - Breda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 10];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
